ticker,trailing_pe,forward_pe,peg_ratio,earnings_growth_5y,price_to_book,trailing_eps,market_cap_musd,revenue_ttm_musd,net_income_ttm_musd
A,25.4719,19.44491,2.3287317365269464,0.0834999999999999,4.7221,4.53009,32609.48,7065.0,1290.0
AAF,,32.19804,0.7365444355484386,0.43715,,,14099.54,,
AAL,,53.54599,,-999.9999,,,40613.14,,
AAPL,33.09453,31.56766,2.6866093617021276,0.1175,43.42791,7.87109,3824290.0,435617.0,117291.0
ABBV,89.98856,19.94479,1.2099998179976097,0.164833,-99999.99,2.3603,375685.1,61160.0,4186.0
ABF,,9.94192,4.33199128540305,0.0229499999999999,,,13426.33,,
ABNB,31.96761,31.06451,2.0989533783783783,0.148,9.62517,4.04034,78621.49,12241.0,2511.0
ABT,27.5222,19.93518,1.9689066666666664,0.10125,3.4219,3.73226,178494.0,44328.0,6524.0
ACGL,8.5046,10.64662,3.8023642857142863,0.0279999999999999,1.51795,11.62195,35214.01,19225.0,4359.0
ACN,15.24346,15.54109,2.0749118825100132,0.0749,3.66653,12.20392,114211.1,72110.32,7648.264
ADBE,13.4019,9.78776,0.754500674503758,0.129725,8.16545,17.15727,92941.75,24453.0,7208.0
ADI,60.81144,35.64537,2.045058519793459,0.1743,5.07693,5.77786,171535.4,11756.8,2856.514
ADM,,13.68668,,-999.9999,,,9994.722,,
ADP,18.83039,21.41453,1.7845441666666666,0.12,12.35665,10.40977,78926.35,21214.3,4235.2
ADSK,43.09013,22.03075,1.3795084533500312,0.1597,15.67408,5.22463,47502.43,7206.0,1124.0
AEE,21.37102,22.85212,2.457217204301075,0.093,2.35789,5.3493,31627.0,8799.0,1456.0
AEP,20.57848,23.18799,3.1548285714285713,0.0735,2.37937,6.66473,74549.73,21876.0,3580.0
AES,10.91667,6.68367,0.5967562500000001,0.1119999999999999,2.52592,1.32,10275.36,12233.0,939.0
AFL,16.41972,14.93422,5.635554716981132,0.0265,1.98875,6.88623,58251.82,17164.0,3646.0
AI,,28.69759,3.336929069767442,0.086,,,108432.3,,
AIG,14.34131,11.01864,0.4749413793103448,0.2319999999999999,1.01674,5.41931,41569.84,26775.0,3096.0
AIR,,25.49216,1.1968150234741783,0.213,,,135322.0,,
AIZ,11.46717,11.4377,,-999.9999,1.89348,19.47124,11116.44,12821.0,872.7
AJG,37.9422,20.4057,2.2673,0.09,2.40668,5.75586,56101.79,13942.0,1494.0
AKAM,35.63939,15.57248,2.5954133333333336,0.06,3.18678,3.07553,16137.12,4208.175,452.031
ALB,-99999.99,-638.097,,-999.9999,2.77989,-5.75529,20317.8,5142.733,-677.378
ALGN,30.83683,17.06628,1.88577679558011,0.0905,3.076,5.65979,12499.36,4034.964,410.351
ALL,5.62017,7.25154,0.5431865168539326,0.1335,1.94957,38.16965,55675.63,67685.0,10165.0
ALLE,19.66533,17.88211,1.7531480392156864,0.102,6.08954,7.43898,12602.22,4067.3,643.8
ALV,,13.43796,1.5410504587155962,0.0872,,,143912.5,,
ALW,,-99999.99,,-999.9999,,,4719.225,,
AMAT,40.75981,41.8624,4.271673469387755,0.098,14.53727,9.75986,315705.9,28214.0,7839.0
AMCR,27.30893,59.81951,6.4599902807775385,0.0926,1.6577,1.52917,19295.03,19609.0,596.0
AMD,90.86092,59.46326,1.438395258829221,0.4134,6.12269,2.60442,385803.4,34639.0,4269.0
