ticker,trailing_pe,forward_pe,peg_ratio,earnings_growth_5y,price_to_book,trailing_eps,market_cap_musd,revenue_ttm_musd,net_income_ttm_musd
BABA,22.53078,19.60125,1.5769308125502817,0.1243,1.94569,5.66691,305379.5,148833.9,13585.79
BIDU,56.24889,13.7355,,-0.08555,0.95435,1.92413,38484.99,18894.96,682.5834
HDB,32.1265,21.09824,1.3524512820512822,0.156,3.65418,0.83358,132975.3,14420.09,4175.234
IBN,17.32063,17.41032,,-999.9999,2.6036,1.58597,99369.17,20985.57,5727.945
INFY,18.84883,17.2973,,-999.9999,6.19874,0.73002,58353.78,18731.64,3025.635
JD,14.93666,10.59483,0.8756057851239669,0.121,1.17947,1.89734,45460.32,191627.6,2873.642
NTES,14.74364,12.61384,,-999.9999,3.05798,7.68128,71709.7,16486.49,4941.857
PDD,10.26911,9.11314,,-999.9999,2.30522,9.79345,142773.8,63214.82,14545.26
TSM,35.00536,35.30349,1.281433393829401,0.2755,11.09682,10.44097,1598250.0,120061.0,54147.47
WIT,16.53795,15.73816,,-999.9999,2.4405,0.13666,23016.5,9831.466,1434.851
YUMC,20.07741,20.21602,2.3210126291618827,0.08710000000000001,3.3011,2.49833,17711.32,11797.0,929.0
