"Booking ID",Date,Location,Description,"Sub total",Tax,Total
89852637,24/Aug/2025,"Barker Drive, NW1 0JF","Payment for booking #89852637",£145.32,Free,£145.32
86167952,22/Aug/2025,"Barker Drive, NW1 0JF","Payment for booking #86167952",£105.60,Free,£105.60
86479381,18/Aug/2025,"Barker Drive, NW1 0JF","Payment for booking #86479381",£132.00,Free,£132.00
89434365,17/Aug/2025,"Barker Drive, NW1 0JF","Payment for booking #89434365",£116.55,Free,£116.55
91035475,17/Jul/2025,"Barker Drive, NW1 0JF","Payment for booking #91035475",£40.00,Free,£40.00
93192855,24/Aug/2025,"Barker Drive, NW1 0JF","Payment for booking #93192855",£56.00,Free,£56.00
93191810,24/Aug/2025,"Barker Drive, NW1 0JF","Payment for booking #93191810",£56.00,Free,£56.00
93191582,24/Aug/2025,"Barker Drive, NW1 0JF","Payment for booking #93191582",£56.00,Free,£56.00
87701404,13/Aug/2025,"Barker Drive, NW1 0JF","Payment for booking #87701404",£104.00,Free,£104.00
93545484,30/Aug/2025,"Barker Drive, NW1 0JF","Payment for booking #93545484",£47.50,Free,£47.50
85883842,07/Aug/2025,"Barker Drive, NW1 0JF","Payment for booking #85883842",£104.00,Free,£104.00
93286411,25/Aug/2025,"Barker Drive, NW1 0JF","Payment for booking #93286411",£45.00,Free,£45.00
93545250,30/Aug/2025,"Barker Drive, NW1 0JF","Payment for booking #93545250",£47.50,Free,£47.50
93431014,28/Aug/2025,"Barker Drive, NW1 0JF","Payment for booking #93431014",£45.00,Free,£45.00
93410728,27/Aug/2025,"Barker Drive, NW1 0JF","Payment for booking #93410728",£45.00,Free,£45.00
93278207,25/Aug/2025,"Barker Drive, NW1 0JF","Payment for booking #93278207",£56.00,Free,£56.00
93101684,23/Aug/2025,"Barker Drive, NW1 0JF","Payment for booking #93101684",£45.00,Free,£45.00
93094456,22/Aug/2025,"Barker Drive, NW1 0JF","Payment for booking #93094456",£45.00,Free,£45.00
93076404,22/Aug/2025,"Barker Drive, NW1 0JF","Payment for booking #93076404",£45.00,Free,£45.00
93032983,21/Aug/2025,"Barker Drive, NW1 0JF","Payment for booking #93032983",£55.00,Free,£55.00
89852637,24/Jul/2025,"Barker Drive, NW1 0JF","Payment for booking #89852637",£145.32,Free,£145.32
89852637,24/Jun/2025,"Barker Drive, NW1 0JF","Payment for booking #89852637",£145.32,Free,£145.32
86167952,22/Jul/2025,"Barker Drive, NW1 0JF","Payment for booking #86167952",£105.60,Free,£105.60
86479381,18/Jul/2025,"Barker Drive, NW1 0JF","Payment for booking #86479381",£132.00,Free,£132.00
89434365,17/Jul/2025,"Barker Drive, NW1 0JF","Payment for booking #89434365",£116.55,Free,£116.55
87701404,13/Jul/2025,"Barker Drive, NW1 0JF","Payment for booking #87701404",£104.00,Free,£104.00
91568373,27/Jul/2025,"Barker Drive, NW1 0JF","Payment for booking #91568373",£40.00,Free,£40.00
89727562,21/Jun/2025,"Barker Drive, NW1 0JF","Payment for booking #89727562",£40.00,Free,£40.00
91595658,28/Jul/2025,"Barker Drive, NW1 0JF","Payment for booking #91595658",£40.00,Free,£40.00
91591329,28/Jul/2025,"Barker Drive, NW1 0JF","Payment for booking #91591329",£60.00,Free,£60.00
90489498,07/Jul/2025,"Barker Drive, NW1 0JF","Payment for booking #90489498",£40.00,Free,£40.00
85883842,07/Jul/2025,"Barker Drive, NW1 0JF","Payment for booking #85883842",£104.00,Free,£104.00
90959895,16/Jul/2025,"Barker Drive, NW1 0JF","Payment for booking #90959895",£40.00,Free,£40.00
91401694,24/Jul/2025,"Barker Drive, NW1 0JF","Payment for booking #91401694",£25.00,Free,£25.00
91570281,27/Jul/2025,"Barker Drive, NW1 0JF","Payment for booking #91570281",£40.00,Free,£40.00
91185529,20/Jul/2025,"Barker Drive, NW1 0JF","Payment for booking #91185529",£50.00,Free,£50.00
91086958,18/Jul/2025,"Barker Drive, NW1 0JF","Payment for booking #91086958",£40.00,Free,£40.00
91238833,22/Jul/2025,"Barker Drive, NW1 0JF","Payment for booking #91238833",£40.00,Free,£40.00
90326236,03/Jul/2025,"Barker Drive, NW1 0JF","Payment for booking #90326236",£40.00,Free,£40.00
90075444,23/Jul/2025,"Barker Drive, NW1 0JF","Payment for booking #90075444",-£120.00,Free,-£120.00
91231313,21/Jul/2025,"Barker Drive, NW1 0JF","Payment for booking #91231313",£120.00,Free,£120.00
90075444,28/Jun/2025,"Barker Drive, NW1 0JF","Payment for booking #90075444",£120.00,Free,£120.00
91346031,30/Jul/2025,"Barker Drive, NW1 0JF","Payment for booking #91346031",£33.02,Free,£33.02
91346031,23/Jul/2025,"Barker Drive, NW1 0JF","Payment for booking #91346031",£40.00,Free,£40.00
90736616,11/Jul/2025,"Barker Drive, NW1 0JF","Payment for booking #90736616",£50.00,Free,£50.00
90681459,11/Jul/2025,"Barker Drive, NW1 0JF","Payment for booking #90681459",£40.00,Free,£40.00
86167952,22/Jun/2025,"Barker Drive, NW1 0JF","Payment for booking #86167952",£105.60,Free,£105.60
90953256,16/Jul/2025,"Barker Drive, NW1 0JF","Payment for booking #90953256",£120.00,Free,£120.00
90681434,11/Jul/2025,"Barker Drive, NW1 0JF","Payment for booking #90681434",£30.00,Free,£30.00
86479381,18/Jun/2025,"Barker Drive, NW1 0JF","Payment for booking #86479381",£132.00,Free,£132.00
90876322,14/Jul/2025,"Barker Drive, NW1 0JF","Payment for booking #90876322",£40.00,Free,£40.00
90837795,13/Jul/2025,"Barker Drive, NW1 0JF","Payment for booking #90837795",£80.00,Free,£80.00
89434365,16/Jun/2025,"Barker Drive, NW1 0JF","Payment for booking #89434365",£116.55,Free,£116.55
90625478,09/Jul/2025,"Barker Drive, NW1 0JF","Payment for booking #90625478",£40.00,Free,£40.00
87701404,13/Jun/2025,"Barker Drive, NW1 0JF","Payment for booking #87701404",£104.00,Free,£104.00
