"and we'll check it for you.","","","",""
"Date","Description","Type","In (£)","Out (£)"
"16 Aug 24","S BEGANOVIC","TFR","4.90",""
"16 Aug 24","S BEGANOVIC","TFR","165.00",""
"12 Aug 24","JUSTPARK WITHDRAWA","BGC","506.67",""
"12 Aug 24","TK MAXX","DEB","32.00",""
"01 Aug 24","INTEREST (GROSS)","","6.59",""
"01 Aug 24","YOURPARKINGSPACE L","FPI","43.65",""
"31 Jul 24","YOURPARKINGSPACE L","FPI","25.54",""
"31 Jul 24","YOURPARKINGSPACE L","FPI","128.04",""
"31 Jul 24","YOURPARKINGSPACE L","FPI","128.04",""
"31 Jul 24","YOURPARKINGSPACE L","FPI","128.04",""
"25 Jul 24","S BEGANOVIC","TFR","4.90",""
"25 Jul 24","S BEGANOVIC","TFR","165.00",""
"10 Jul 24","JUSTPARK WITHDRAWA","BGC","498.91",""
"02 Jul 24","CLUB LLOYDS WAIVED","DEP","3.00",""
"01 Jul 24","INTEREST (GROSS)","","6.84",""
"01 Jul 24","YOURPARKINGSPACE L","FPI","60.00",""
"28 Jun 24","YOURPARKINGSPACE L","FPI","92.40",""
"28 Jun 24","YOURPARKINGSPACE L","FPI","136.00",""
"28 Jun 24","YOURPARKINGSPACE L","FPI","132.00",""
"28 Jun 24","YOURPARKINGSPACE L","FPI","132.00",""
"20 Jun 24","TK MAXX","DEB","14.82",""
