ticker,name,ccy,listing,domicile,country,sector,yfinance_symbol,ibkr_symbol,ibkr_primary_exchange,ibkr_currency
III,3i,GBP,LSE_GBP,UK,UK,Financial services,III.L,III,LSE,GBP
ADM,Admiral Group,GBP,LSE_GBP,UK,UK,Insurance,ADM.L,ADM,LSE,GBP
AAF,Airtel Africa,GBP,LSE_GBP,UK,UK,Telecommunications services,AAF.L,AAF,LSE,GBP
ALW,Alliance Witan,GBP,LSE_GBP,UK,UK,Investment Trusts,ALW.L,ALW,LSE,GBP
AAL,Anglo American plc,GBP,LSE_GBP,UK,UK,Mining,AAL.L,AAL,LSE,GBP
ANTO,Antofagasta plc,GBP,LSE_GBP,UK,UK,Mining,ANTO.L,ANTO,LSE,GBP
ABF,Associated British Foods,GBP,LSE_GBP,UK,UK,Food & tobacco,ABF.L,ABF,LSE,GBP
AZN,AstraZeneca,GBP,LSE_GBP,UK,UK,Pharmaceuticals & biotechnology,AZN.L,AZN,LSE,GBP
AUTO,Autotrader Group,GBP,LSE_GBP,UK,UK,Media,AUTO.L,AUTO,LSE,GBP
AV,Aviva,GBP,LSE_GBP,UK,UK,Life insurance,AV.L,AV,LSE,GBP
BAB,Babcock International,GBP,LSE_GBP,UK,UK,Aerospace & defence,BAB.L,BAB,LSE,GBP
BA,BAE Systems,GBP,LSE_GBP,UK,UK,Aerospace & defence,BA.L,BA,LSE,GBP
BARC,Barclays,GBP,LSE_GBP,UK,UK,Banks,BARC.L,BARC,LSE,GBP
BTRW,Barratt Redrow,GBP,LSE_GBP,UK,UK,Household goods & home construction,BTRW.L,BTRW,LSE,GBP
BEZ,Beazley,GBP,LSE_GBP,UK,UK,Insurance,BEZ.L,BEZ,LSE,GBP
BKG,Berkeley Group Holdings,GBP,LSE_GBP,UK,UK,Household goods & home construction,BKG.L,BKG,LSE,GBP
BP,BP,GBP,LSE_GBP,UK,UK,Oil & gas producers,BP.L,BP,LSE,GBP
BATS,British American Tobacco,GBP,LSE_GBP,UK,UK,Tobacco,BATS.L,BATS,LSE,GBP
BLND,British Land,GBP,LSE_GBP,UK,UK,Real estate,BLND.L,BLND,LSE,GBP
BT.A,BT Group,GBP,LSE_GBP,UK,UK,Telecommunications services,BT-A.L,BT.A,LSE,GBP
BNZL,Bunzl,GBP,LSE_GBP,UK,UK,Support services,BNZL.L,BNZL,LSE,GBP
BRBY,Burberry Group,GBP,LSE_GBP,UK,UK,Personal goods,BRBY.L,BRBY,LSE,GBP
CNA,Centrica,GBP,LSE_GBP,UK,UK,Multiline utilities,CNA.L,CNA,LSE,GBP
CCEP,Coca-Cola Europacific Partners,GBP,LSE_GBP,UK,UK,Beverages,CCEP.L,CCEP,LSE,GBP
CCH,Coca-Cola HBC,GBP,LSE_GBP,UK,UK,Beverages,CCH.L,CCH,LSE,GBP
CPG,Compass Group,GBP,LSE_GBP,UK,UK,Support services,CPG.L,CPG,LSE,GBP
CTEC,Convatec,GBP,LSE_GBP,UK,UK,Health care equipment & supplies,CTEC.L,CTEC,LSE,GBP
CRDA,Croda International,GBP,LSE_GBP,UK,UK,Chemicals,CRDA.L,CRDA,LSE,GBP
DCC,DCC plc,GBP,LSE_GBP,UK,UK,Support services,DCC.L,DCC,LSE,GBP
DGE,Diageo,GBP,LSE_GBP,UK,UK,Beverages,DGE.L,DGE,LSE,GBP
DPLM,Diploma,GBP,LSE_GBP,UK,UK,Industrial Support services,DPLM.L,DPLM,LSE,GBP
EDV,Endeavour Mining,GBP,LSE_GBP,UK,UK,Mining,EDV.L,EDV,LSE,GBP
ENT,Entain,GBP,LSE_GBP,UK,UK,Travel & leisure,ENT.L,ENT,LSE,GBP
EXPN,Experian,GBP,LSE_GBP,UK,UK,Support services,EXPN.L,EXPN,LSE,GBP
FCIT,F & C Investment Trust,GBP,LSE_GBP,UK,UK,Collective investments,FCIT.L,FCIT,LSE,GBP
