MMM,3M,USD,stock,,Industrials
AOS,A. O. Smith,USD,stock,,Industrials
ABT,Abbott Laboratories,USD,stock,,Healthcare
ABBV,AbbVie,USD,stock,,Healthcare
ACN,Accenture,USD,stock,,Technology
ADBE,Adobe Inc.,USD,stock,,Technology
AMD,Advanced Micro Devices,USD,stock,,Technology
AES,AES Corporation,USD,stock,,Utilities
AFL,Aflac,USD,stock,,Financials
A,Agilent Technologies,USD,stock,,Healthcare
APD,Air Products,USD,stock,,Materials
ABNB,Airbnb,USD,stock,,Consumer Discretionary
AKAM,Akamai Technologies,USD,stock,,Technology
ALB,Albemarle Corporation,USD,stock,,Materials
ARE,Alexandria Real Estate Equities,USD,stock,,Real Estate
ALGN,Align Technology,USD,stock,,Healthcare
ALLE,Allegion,USD,stock,,Industrials
LNT,Alliant Energy,USD,stock,,Utilities
ALL,Allstate,USD,stock,,Financials
GOOGL,Alphabet Inc. (Class A),USD,stock,,Communication
GOOG,Alphabet Inc. (Class C),USD,stock,,Communication
MO,Altria,USD,stock,,Consumer Staples
AMZN,Amazon,USD,stock,,Consumer Discretionary
AMCR,Amcor,USD,stock,,Materials
AEE,Ameren,USD,stock,,Utilities
AEP,American Electric Power,USD,stock,,Utilities
AXP,American Express,USD,stock,,Financials
AIG,American International Group,USD,stock,,Financials
AMT,American Tower,USD,stock,,Real Estate
AWK,American Water Works,USD,stock,,Utilities
AMP,Ameriprise Financial,USD,stock,,Financials
AME,Ametek,USD,stock,,Industrials
AMGN,Amgen,USD,stock,,Healthcare
APH,Amphenol,USD,stock,,Technology
ADI,Analog Devices,USD,stock,,Technology
AON,Aon plc,USD,stock,,Financials
APA,APA Corporation,USD,stock,,Energy
APO,Apollo Global Management,USD,stock,,Financials
AAPL,Apple Inc.,USD,stock,,Technology
AMAT,Applied Materials,USD,stock,,Technology
APP,AppLovin,USD,stock,,Technology
APTV,Aptiv,USD,stock,,Consumer Discretionary
ACGL,Arch Capital Group,USD,stock,,Financials
ADM,Archer Daniels Midland,USD,stock,,Consumer Staples
ARES,Ares Management,USD,stock,,Financials
ANET,Arista Networks,USD,stock,,Technology
AJG,Arthur J. Gallagher & Co.,USD,stock,,Financials
AIZ,Assurant,USD,stock,,Financials
T,AT&T,USD,stock,,Communication
ATO,Atmos Energy,USD,stock,,Utilities
ADSK,Autodesk,USD,stock,,Technology
ADP,Automatic Data Processing,USD,stock,,Industrials
AZO,AutoZone,USD,stock,,Consumer Discretionary
AVB,AvalonBay Communities,USD,stock,,Real Estate
AVY,Avery Dennison,USD,stock,,Materials
AXON,Axon Enterprise,USD,stock,,Industrials
BKR,Baker Hughes,USD,stock,,Energy
BALL,Ball Corporation,USD,stock,,Materials
BAC,Bank of America,USD,stock,,Financials
BAX,Baxter International,USD,stock,,Healthcare
BDX,Becton Dickinson,USD,stock,,Healthcare
BRK-B,Berkshire Hathaway,USD,stock,,Financials
BBY,Best Buy,USD,stock,,Consumer Discretionary
TECH,Bio-Techne,USD,stock,,Healthcare
BIIB,Biogen,USD,stock,,Healthcare
BLK,BlackRock,USD,stock,,Financials
BX,Blackstone Inc.,USD,stock,,Financials
XYZ,"Block, Inc.",USD,stock,,Financials
BK,BNY Mellon,USD,stock,,Financials
BA,Boeing,USD,stock,,Industrials
BKNG,Booking Holdings,USD,stock,,Consumer Discretionary
BSX,Boston Scientific,USD,stock,,Healthcare
BMY,Bristol Myers Squibb,USD,stock,,Healthcare
AVGO,Broadcom,USD,stock,,Technology
BR,Broadridge Financial Solutions,USD,stock,,Industrials
BRO,Brown & Brown,USD,stock,,Financials
BF-B,Brown–Forman,USD,stock,,Consumer Staples
BLDR,Builders FirstSource,USD,stock,,Industrials
